,dim_partner_partner_id,dim_partner_partner_name,cuisine,%slowdelivery,%vendorlate,%riderlate,avg_estimated_prep_time,Orders,acumulado,new_ept,new_ept_fixed,partner_id,partner_name,strategy,buffer,STRATEGY2
0,118949,maxi sushi,sushi,0.08329519451,0.05992329818,0.007611798287,21.22425629,2185,0.01748433612,29,29,118949,Maxi Sushi,OPS_TEMPORARY,2,OPS_TEMPORARY
1,99228,tempura rolls,sushi,0.1727921009,0.06489841986,0.01116071429,24.70981898,1823,0.03207195384,33,33,99228,Tempura Rolls,OPS_TEMPORARY,2,OPS_TEMPORARY
2,108409,tokio sushi - los ángeles,sushi,0.0805134189,0.1295740852,0.01244075829,13.60268378,1714,0.04578735526,22,22,108409,Tokio Sushi - Los Ángeles,COMPUTED,2,OPS_TEMPORARY
3,68229,sushi ryge las condes,sushi,0.3925104022,0.1018786127,0.02328863797,31.26560333,1442,0.0573262169,39,39,68229,Sushi Ryge Las Condes,OPS_TEMPORARY,2,OPS_TEMPORARY
4,41618,sushi ryge providencia,sushi,0.5647558386,0.08719135802,0.07030129125,31.54069356,1413,0.06863302099,40,40,41618,Sushi Ryge Providencia,OPS_TEMPORARY,2,OPS_TEMPORARY
5,222103,jirén sushi valparaíso,sushi,0.5210484512,0.1905195989,0.116747182,29.00794281,1259,0.07870751946,37,37,222103,Jirén Sushi Valparaíso,COMPUTED,0,OPS_TEMPORARY
6,134018,meisushi mirasol,sushi,0.06786050895,0.1660117878,0.02490421456,16.49764373,1061,0.08719762501,24,24,134018,Meisushi Mirasol,COMPUTED,2,OPS_TEMPORARY
7,282552,meisushi restaurante,sushi,0.4398826979,0.1942060086,0.06425702811,27.8054741,1023,0.09538365515,36,36,282552,Meisushi Restaurante,COMPUTED,1,OPS_TEMPORARY
8,159958,tempura rolls las rastras,sushi,0.0652173913,0.07373737374,0.00702106319,19.48023715,1012,0.1034816635,27,27,159958,Tempura Rolls Las Rastras,OPS_TEMPORARY,2,OPS_TEMPORARY
9,346335,street sushi,sushi,0.4896142433,0.08352402746,0.1081632653,31.45895153,1011,0.1115716698,39,39,346335,Street Sushi,COMPUTED,1,OPS_TEMPORARY
10,337620,jiren sushi viña,sushi,0.4566115702,0.138996139,0.1829652997,24.20041322,968,0.1193175908,32,32,337620,Jiren Sushi Viña,COMPUTED,0,OPS_TEMPORARY
11,48098,sushi ryge,sushi,0.5798755187,0.2559598494,0.1610526316,25.37033195,964,0.1270315038,33,33,48098,Sushi Ryge,COMPUTED,0,OPS_TEMPORARY
12,329416,yapones sushi las condes,sushi,0.1981132075,0.06923076923,0.02985074627,20.63731656,954,0.134665397,29,29,329416,Yapones Sushi Las Condes,COMPUTED,1,OPS_TEMPORARY
13,203910,sushi fusión austral,sushi,0.2658092176,0.1479768786,0.05875952122,24.83601286,933,0.1421312485,33,33,203910,Sushi Fusión Austral,COMPUTED,1,OPS_TEMPORARY
14,381713,sushi yare,sushi,0.306768559,0.07741116751,0.1165919283,19.81550218,916,0.1494610663,28,28,381713,Sushi Yare,COMPUTED,0,OPS_TEMPORARY
15,61502,minami sushi grecia,sushi,0.434298441,0.1108374384,0.0709382151,32.81291759,898,0.1566468484,41,40,61502,Minami Sushi Grecia,COMPUTED,1,OPS_TEMPORARY
16,434793,kyo sushi arica,sushi,0.0869047619,0.05236907731,0.02433090024,17.33452381,840,0.1633685154,25,25,434793,Kyo Sushi Arica,COMPUTED,0,OPS_TEMPORARY
17,37974,california sushi rancagua,sushi,0.1337423313,0.1559748428,0.01242236025,14.22453988,815,0.1698901328,22,22,37974,California Sushi Rancagua,COMPUTED,2,OPS_TEMPORARY
18,167314,sushital,sushi,0.01231527094,0.04791929382,0.007509386733,10.65024631,812,0.1763877442,19,19,167314,Sushital,COMPUTED,1,OPS_TEMPORARY
19,306096,sushi ryge la reina,sushi,0.4472361809,0.200538358,0.05350318471,28.63944724,796,0.1827573238,37,37,306096,Sushi Ryge La Reina,COMPUTED,1,OPS_TEMPORARY
20,427369,jirén sushi curauma,sushi,0.09370629371,0.1107828656,0.02308802309,19.5048951,715,0.1884787427,28,28,427369,Jirén Sushi Curauma,COMPUTED,1,OPS_TEMPORARY
21,524447,sushi ryge chillan,sushi,0.1848739496,0.183908046,0.01136363636,22.83193277,714,0.1941921597,31,31,524447,Sushi Ryge Chillan,COMPUTED,2,OPS_TEMPORARY
22,520042,jirén sushi quilpué,sushi,0.4132352941,0.2579617834,0.06408345753,26.35588235,680,0.1996335091,34,34,520042,Jirén Sushi Quilpué,COMPUTED,3,OPS_TEMPORARY
23,115821,sushi point - villa alemana,sushi,0.05067064083,0.06697819315,0.02431610942,15.16244411,671,0.2050028407,23,23,115821,Sushi Point - Villa Alemana,COMPUTED,1,OPS_TEMPORARY
24,160317,misushi valdivia,sushi,0.2660550459,0.2227722772,0.05164319249,24.22324159,654,0.2102361386,32,32,160317,Misushi Valdivia,COMPUTED,2,OPS_TEMPORARY
25,501726,sushi ryge vitacura,sushi,0.2616099071,0.1056218058,0.07413249211,25.5371517,646,0.2154054205,34,34,501726,Sushi Ryge Vitacura,COMPUTED,1,OPS_TEMPORARY
26,137753,sushi lake,sushi,0.1149068323,0.2487961477,0.02197802198,18.32608696,644,0.2205586986,26,26,137753,Sushi Lake,COMPUTED,3,OPS_TEMPORARY
27,401819,salon nomade - collao,sushi,0.05965463108,0.08774834437,0.02580645161,17.9277865,637,0.2256559627,26,26,401819,Salon Nomade - Collao,COMPUTED,1,OPS_TEMPORARY
28,328076,solisushi peñuelas,sushi,0.5191347754,0.1486988848,0.08503401361,28.90515807,601,0.2304651554,37,37,328076,Solisushi Peñuelas,COMPUTED,1,OPS_TEMPORARY
29,221017,koi sushi - la florida,sushi,0.468907563,0.08704883227,0.2110552764,24.15798319,595,0.2352263361,32,32,221017,Koi Sushi - La Florida,COMPUTED,0,OPS_TEMPORARY
30,487222,jirén sushi reñaca,sushi,0.3076923077,0.1621621622,0.09913043478,23.88547009,585,0.2399074971,32,32,487222,Jirén Sushi Reñaca,COMPUTED,1,OPS_TEMPORARY
31,409107,minami sushi angamos.,sushi,0.195035461,0.02851711027,0.0295202952,30.51950355,564,0.2444206163,39,39,409107,Minami Sushi Angamos.,OPS_TEMPORARY,2,OPS_TEMPORARY
32,407607,buffet & sushi - coronel,sushi,0.1315315315,0.2030947776,0.03903345725,18.82522523,555,0.2488617177,27,27,407607,Buffet & Sushi - Coronel,COMPUTED,2,OPS_TEMPORARY
33,238260,meisushi centro,sushi,0.4373865699,0.1970954357,0.1057513915,27.31578947,551,0.2532708112,35,35,238260,Meisushi Centro,COMPUTED,1,OPS_TEMPORARY
34,328057,solisushi delivery la herradura,sushi,0.3626168224,0.2037422037,0.06963249516,28.22803738,535,0.2575518729,36,36,328057,Solisushi Delivery La Herradura,COMPUTED,2,OPS_TEMPORARY
